species,age,site,year,body_mass_g,reference
common ringed plover,adult,bylot,2016,132,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,72,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,83,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,71,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,79,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,85,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,94,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,71,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,75,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,72,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,79,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,69,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,70,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,73,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,77,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,69,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,75,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,73,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,76,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,74,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,73,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,78,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,80,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2016,185,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2016,158,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2016,158,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2016,152,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,72,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,70,"J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,75,"J. Bêty, unpublished data"
white rumped sandpiper,adult,bylot,2016,94,"J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,77,"J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,77,"J. Bêty, unpublished data"
