"","distance"
"104",7.97247539821016
"105",7.97247539821016
"106",7.97247539821016
"107",7.97247539821016
"108",8.12518475122052
"109",8.12518475122052
"110",8.13354910221578
"111",8.23415239363745
"112",8.36335844839873
"113",8.43232110807489
"114",8.5493605752533
"115",8.6862287825835
"116",8.68676663012939
"117",8.73785923585084
"118",8.75702263524598
"119",8.81157453579389
"120",8.89487102038959
"121",8.94654816015096
"122",8.96942754859267
"123",9.26273906589925
"124",9.40816022580105
"125",9.46910325692442
"126",9.67161561904922
"127",9.80034845822481
"128",9.8488578017961
"129",9.88713097522207
"130",9.88713097522207
"131",9.88713097522207
"132",9.9106189872426
"133",10.1794740345439
"134",10.227377150549
"135",10.227377150549
"136",10.4494572752466
"137",10.461126488091
"138",10.4618826423575
"139",10.5251015218227
"140",10.5765999951311
"141",10.6202470471573
"142",10.6479444152697
"143",10.8124080464627
"144",10.9195506414483
"145",11.0059608022574
"146",11.0059608022574
"147",11.0685267346649
"148",11.0777846645785
"149",11.1421880390825
"150",11.190405718335
"151",11.2132691564098
"152",11.213781191651
"153",11.2320494640499
"154",11.3137084989848
"155",11.5401853343026
"156",11.628288528913
"157",11.6619037896906
"158",11.8785351822973
"159",12.1974458092954
"160",12.4016294185983
"161",12.4923339812482
"162",12.5808465336997
"163",12.6455247122429
"164",12.7447111364112
"165",12.8592894120351
"166",12.959218377097
"167",13.0002798229153
"168",13.0143112259403
"169",13.0209841786601
"170",13.1213158541923
"171",13.199500146737
"172",13.216938012949
"173",13.2245143932167
"174",13.3496435032348
"175",13.3609417601114
"176",13.3712278591472
"177",13.4148327610493
"178",13.46412510244
"179",13.5144444592695
"180",13.6159211490304
"181",13.6230973511516
"182",13.6451159463447
"183",13.7103628077041
"184",13.7152508055483
"185",13.7981987634242
"186",13.8828208473233
"187",13.9563715440639
"188",14.1506026085751
"189",14.1971608517161
"190",14.3941592858515
"191",14.5258114871248
"192",14.6426527244428
"193",14.8545393384228
"194",14.9333360267181
"195",15.1551057706711
"196",15.1910521104159
"197",15.2152108144294
"198",15.2168915887985
"199",15.2369529140953
"200",15.2670586914996
"201",15.3516463944302
"202",15.3741782157261
"203",15.5116381039953
"204",15.5116381039953
"205",15.6652071797923
"206",15.7439466108691
"207",15.8366117935517
"208",15.9897048991003
"209",16.0646576342313
"210",16.1068860677185
"211",16.2027512184699
"212",16.2960676365264
"213",16.4941378133607
"214",16.5110173686627
"215",16.6183614454278
"216",16.8053414123621
"217",16.9850791454852
"218",17.0349436915829
"219",17.0444588244634
"220",17.3630637272459
"221",17.3996944354502
"222",17.4928556845359
"223",17.5221305658914
"224",17.5529354797275
"225",17.5654886568116
"226",17.7354811215116
"227",17.7920037020903
"228",18.0915803116819
"229",18.1706509760434
"230",18.2118239186126
"231",18.2252765082114
"232",18.3221849194071
"233",18.3493334464044
"234",18.3575597506858
"235",18.4244042502534
"236",18.4409898250134
"237",18.4708458282889
"238",18.4835360303682
"239",18.5760357352611
"240",18.6738833714874
"241",18.694654235288
"242",18.8169486708038
"243",18.8650991221512
"244",18.9383279464604
"245",19.0300466024255
"246",19.1041127479373
"247",19.2773837459144
"248",19.5208427271303
"249",19.5896023308212
"250",19.632906385773
"251",19.720166235409
"252",19.7989062996336
"253",19.9248588451713
"254",19.9447942596704
"255",20.0079034883196
"256",20.0631610849071
"257",20.2228252676258
"258",20.6155281280883
"259",20.7035782212304
"260",20.7850245614736
"261",20.8050718088002
"262",20.8281623099257
"263",20.9599503479823
"264",21.0415831729305
"265",21.0471616396086
"266",21.2148125478108
"267",21.2455491465098
"268",21.2723904680817
