nest_id,species,year,zone
BUPA161,rough legged hawk,2019,south plateau
RLHA01-YS,rough legged hawk,2017,south plateau
RLHA02,rough legged hawk,2008,south plateau
RLHA02,rough legged hawk,2010,south plateau
RLHA02-JV,rough legged hawk,2017,south plateau
RLHA03-NC,rough legged hawk,2016,south plateau
RLHA04,rough legged hawk,2008,south plateau
RLHA04-KC,rough legged hawk,2016,south plateau
RLHA05-KC,rough legged hawk,2016,south plateau
RLHA06-YS,rough legged hawk,2016,south plateau
RLHA07,rough legged hawk,2007,south plateau
RLHA14,rough legged hawk,2010,south plateau
RLHA140,rough legged hawk,2014,south plateau
RLHA141,rough legged hawk,2014,south plateau
RLHA144,rough legged hawk,2014,south plateau
RLHA149,rough legged hawk,2015,south plateau
RLHA15,rough legged hawk,2010,south plateau
RLHA150,rough legged hawk,2015,south plateau
RLHA16,rough legged hawk,2010,south plateau
RLHA17,rough legged hawk,2010,south plateau
BUPA_142,rough legged hawk,2018,qarlikturvik valley
BUPA_153/BUPA_135,rough legged hawk,2018,qarlikturvik valley
BUPA107,rough legged hawk,2012,qarlikturvik valley
BUPA110a,rough legged hawk,2019,qarlikturvik valley
BUPA111a,rough legged hawk,2019,qarlikturvik valley
BUPA146,rough legged hawk,2019,qarlikturvik valley
BUPA147a,rough legged hawk,2019,qarlikturvik valley
RLHA01,rough legged hawk,2008,qarlikturvik valley
RLHA01,rough legged hawk,2010,qarlikturvik valley
RLHA01,rough legged hawk,2011,qarlikturvik valley
RLHA01-YS,rough legged hawk,2016,qarlikturvik valley
RLHA02,rough legged hawk,2011,qarlikturvik valley
RLHA02-NC,rough legged hawk,2016,qarlikturvik valley
RLHA03,rough legged hawk,2010,qarlikturvik valley
RLHA07-KC,rough legged hawk,2016,qarlikturvik valley
RLHA12,rough legged hawk,2010,qarlikturvik valley
RLHA13,rough legged hawk,2010,qarlikturvik valley
RLHA135,rough legged hawk,2014,qarlikturvik valley
RLHA136,rough legged hawk,2014,qarlikturvik valley
RLHA146,rough legged hawk,2015,qarlikturvik valley
RLHA147,rough legged hawk,2015,qarlikturvik valley
BUPA_142,rough legged hawk,2018,camp 1
BUPA_153/BUPA_135,rough legged hawk,2018,camp 1
BUPA107,rough legged hawk,2012,camp 1
BUPA146,rough legged hawk,2019,camp 1
BUPA147a,rough legged hawk,2019,camp 1
RLHA01,rough legged hawk,2008,camp 1
RLHA01,rough legged hawk,2010,camp 1
RLHA01,rough legged hawk,2011,camp 1
RLHA01-YS,rough legged hawk,2016,camp 1
RLHA02-NC,rough legged hawk,2016,camp 1
RLHA03,rough legged hawk,2010,camp 1
RLHA135,rough legged hawk,2014,camp 1
RLHA136,rough legged hawk,2014,camp 1
RLHA146,rough legged hawk,2015,camp 1
RLHA147,rough legged hawk,2015,camp 1
BUPA_115,rough legged hawk,2018,study area
BUPA_139,rough legged hawk,2018,study area
BUPA_142,rough legged hawk,2018,study area
BUPA_152,rough legged hawk,2018,study area
BUPA_153/BUPA_135,rough legged hawk,2018,study area
BUPA_420,rough legged hawk,2018,study area
BUPA106,rough legged hawk,2012,study area
BUPA107,rough legged hawk,2012,study area
BUPA110a,rough legged hawk,2019,study area
BUPA111a,rough legged hawk,2019,study area
BUPA115,rough legged hawk,2019,study area
BUPA118,rough legged hawk,2012,study area
BUPA118,rough legged hawk,2019,study area
BUPA122,rough legged hawk,2012,study area
BUPA122,rough legged hawk,2019,study area
BUPA125,rough legged hawk,2019,study area
BUPA127,rough legged hawk,2012,study area
BUPA127,rough legged hawk,2019,study area
BUPA128,rough legged hawk,2012,study area
