"year","foxid","id_merged_pair","sex","rep_status","area_argos","VAR","VAR.log","goose_category","centro_in_colony","lemming_density","lem_cat"
"2015","OVVV","BBOJ","M","Breeder",6.34644657471316,0.422056060473321,0.0105819454043389,"inside colony","1",3.647,"High"
"2012","RBJM","RBJM","F","Non-breeder",13.7785034046267,2.440740459011,0.0129902156448378,"outside colony","0",0.087,"Low"
"2008","RBJV","RBJV","F","Breeder",47.4288720039091,70.3378252826971,0.0315868580625596,"outside colony","0",2.812,"High"
"2011","RBRJ","RBRJ","F",NA,12.9707251515145,3.89463590978848,0.0233833777274365,"inside colony","1",5.038,"High"
"2016","RBRO","RBRO","M",NA,31.4125700049887,8.59375742696072,0.00879783108845782,"outside with overlap","0",2.533,"High"
"2009","RJBB","BJVR","M","Non-breeder",88.3466488635024,68.931729793843,0.00892239588182625,"outside with overlap","0",0.141,"Low"
"2010","RJBB","BJVR","M","Breeder",54.3176387649816,31.5525098871529,0.0108035755505323,"outside with overlap","0",3.843,"High"
"2015","RJJO","BROV","F","Breeder",31.0622068529526,10.3050137793394,0.010789872763756,"outside colony","0",3.647,"High"
"2016","RJMB","RJMB","F","Breeder",13.0209245260892,1.54530180032707,0.00920571132561658,"inside colony","1",2.533,"High"
"2011","RJMR","RJMR","M","Breeder",21.1206771435674,9.17641898588744,0.0207837793001244,"outside colony","0",5.038,"High"
"2012","RJMR","RJMR","M","Non-breeder",15.7420002230176,4.78784420833199,0.0195540943468078,"outside colony","0",0.087,"Low"
"2016","RJOB","BVVO","M","Breeder",11.92280515163,1.50966281753324,0.0107275644226983,"inside colony","1",2.533,"High"
"2014","RJVO","BJOB","M","Breeder",9.35062377751008,0.892547270272676,0.0103056364287929,"outside colony","0",6.479,"High"
"2015","ROJO","ROJO","M","Breeder",17.0439306070355,3.67096492878167,0.0127686830267991,"outside colony","0",3.647,"High"
"2013","RORO","RORO","M","Non-breeder",69.1786254494075,34.856845103295,0.00735696097276451,"outside colony","0",0.019,"Low"
"2011","RRMM","RRMM","M",NA,13.3624172275529,1.64624499192592,0.00931097383023579,"outside with overlap","0",5.038,"High"
"2012","RRMM","RRMM","M","Breeder",27.9507895171807,5.79823900539605,0.00749347672487998,"outside with overlap","0",0.087,"Low"
"2010","RVBR","RVBR","M",NA,52.0296127322711,61.7599827801309,0.0230533233906833,"outside colony","0",3.843,"High"
"2013","RVBV","ROOO","M","Non-breeder",35.0194075487536,11.9184644565523,0.00981661384754838,"outside colony","0",0.019,"Low"
"2014","RVOO","BMVJ","F","Breeder",22.5074184438713,6.70877596968493,0.0133811039092969,"outside colony","0",6.479,"High"
"2016","RVVB","RVVB","F","Breeder",15.6693809624685,4.07375018173923,0.016755749000418,"outside colony","0",2.533,"High"
"2010","VBBJ","VBBJ","F","Non-breeder",19.158634855474,7.07588980944128,0.0194739261695806,"outside colony","0",3.843,"High"
"2011","VBBJ","VBBJ","F","Breeder",19.7517547457644,5.02542341516998,0.0130149648991793,"outside colony","0",5.038,"High"
"2010","VBBM","VBBM","F",NA,19.1386140657947,7.39282254685937,0.0203967495783745,"outside colony","0",3.843,"High"
"2009","VBJB","VBJB","M","Non-breeder",11.086615319948,1.47676026430486,0.0121394353420504,"inside colony","1",0.141,"Low"
"2010","VBJB","VBJB","M","Breeder",16.476829459677,2.77061721846521,0.0103083453003386,"inside colony","1",3.843,"High"
"2012","VBJB","JRMB","M","Non-breeder",5.16439548644406,0.292592868094446,0.0110826004996636,"inside colony","1",0.087,"Low"
"2013","VBJB","JRMB","M","Non-breeder",7.93907139602077,0.874228770619192,0.0140151583043756,"inside colony","1",0.019,"Low"
"2012","VBJJ","MRVR","F","Non-breeder",16.9099670642453,2.98622995947211,0.0105411630987814,"outside with overlap","0",0.087,"Low"
"2014","VBJO","BBOO","M","Breeder",10.1766020267768,1.34481282132986,0.0131152353872162,"inside colony","1",6.479,"High"
"2011","VBJR","RRMM","F",NA,21.7582655996969,6.7293343485564,0.0143575241956154,"outside with overlap","0",5.038,"High"
"2015","VBOO","VBOO","M",NA,21.0506117062628,6.47651695597892,0.0147608181204024,"outside colony","0",3.647,"High"
"2010","VJBB","VJBB","M","Breeder",18.743398069942,5.25048099512557,0.0150874949009712,"inside colony","1",3.843,"High"
"2011","VJBB","MJRV","M","Breeder",14.6806302322955,2.43095472851661,0.0113880291912948,"inside colony","1",5.038,"High"
"2012","VJBB","MJRV","M","Breeder",11.4803245466407,1.7194629078755,0.0131810214990846,"inside colony","1",0.087,"Low"
"2013","VJBB","MJRV","M","Breeder",10.5457138147873,1.19611763263019,0.0108641321452197,"inside colony","1",0.019,"Low"
"2014","VJBB","MJRV","M","Breeder",16.3291671596674,2.00757658034852,0.00760481047303441,"inside colony","1",6.479,"High"
"2011","VJBR","VJBR","F","Breeder",23.8974664573753,7.22323923151185,0.0127707184092843,"inside colony","1",5.038,"High"
"2012","VJBR","VJBR","F","Non-breeder",17.5114317009792,4.68278113180173,0.0154244949448266,"inside colony","1",0.087,"Low"
"2016","VJBV","RJMB","M","Breeder",14.0660785498623,2.26371877985303,0.0115572981557204,"inside colony","1",2.533,"High"
"2016","VJJB","VJJB","M","Breeder",33.0918914140805,19.2135525221033,0.0177218135665156,"outside with overlap","0",2.533,"High"
