"species","zone","year","status","data","abundance"
"long tailed jaeger","study area",2019,"breeding","nest sampling (extrapolation habitat)",293
"long tailed jaeger","study area",2022,"breeding","nest sampling (extrapolation habitat)",0
"pacific loon","study area",2017,"breeding","nest sampling",0
"pacific loon","study area",2018,"breeding","nest sampling",6
"pacific loon","study area",2019,"breeding","nest sampling",6
"pacific loon","study area",2022,"breeding","nest sampling",4
"parasitic jaeger","study area",NA,"undetermined","banding",17
"parasitic jaeger","study area",NA,"breeding","nest sampling",8
"pectoral sandpiper","study area",NA,"breeding","transects (relative abundance)",80
"pectoral sandpiper","study area",NA,"breeding","incidental observations (relative abundance)",255
"peregrine falcon","study area",2013,"breeding","nest sampling",10
"peregrine falcon","study area",2014,"breeding","nest sampling",12
"peregrine falcon","study area",2015,"breeding","nest sampling",8
"peregrine falcon","study area",2016,"breeding","nest sampling",10
"peregrine falcon","study area",2017,"breeding","nest sampling",10
"peregrine falcon","study area",2018,"breeding","nest sampling",10
"peregrine falcon","study area",2019,"breeding","nest sampling",12
"peregrine falcon","study area",2022,"breeding","nest sampling",10
"red knot","study area",NA,"breeding","transects (relative abundance)",66
"red knot","study area",NA,"breeding","incidental observations (relative abundance)",233
"red phalarope","study area",NA,"breeding","transects (relative abundance)",140
"red phalarope","study area",NA,"breeding","incidental observations (relative abundance)",270
"red throated loon","study area",2017,"breeding","nest sampling",42
"red throated loon","study area",2018,"breeding","nest sampling",76
"red throated loon","study area",2019,"breeding","nest sampling",70
"red throated loon","study area",2022,"breeding","nest sampling",66
"rock ptarmigan","study area",NA,"breeding","nest sampling (extrapolation habitat)",24
"rough legged hawk","study area",2004,"breeding","nest sampling (extrapolation nests)",11
"rough legged hawk","study area",2006,"breeding","nest sampling (extrapolation nests)",11
"rough legged hawk","study area",2007,"breeding","nest sampling (extrapolation nests)",3
"rough legged hawk","study area",2008,"breeding","nest sampling (extrapolation nests)",10
"rough legged hawk","study area",2009,"breeding","nest sampling (extrapolation nests)",7
"rough legged hawk","study area",2010,"breeding","nest sampling (extrapolation nests)",59
"rough legged hawk","study area",2011,"breeding","nest sampling (extrapolation nests)",35
"rough legged hawk","study area",2012,"breeding","nest sampling (extrapolation nests)",21
"rough legged hawk","study area",2013,"breeding","nest sampling",0
"rough legged hawk","study area",2014,"breeding","nest sampling",62
"rough legged hawk","study area",2015,"breeding","nest sampling",40
"rough legged hawk","study area",2016,"breeding","nest sampling",60
"rough legged hawk","study area",2017,"breeding","nest sampling",8
"rough legged hawk","study area",2018,"breeding","nest sampling",2
"rough legged hawk","study area",2019,"breeding","nest sampling",66
"rough legged hawk","study area",2022,"breeding","nest sampling",6
"ruddy turnstone","study area",NA,"breeding","transects (relative abundance)",40
"ruddy turnstone","study area",NA,"breeding","incidental observations (relative abundance)",53
"sandhill crane","study area",NA,"breeding","nest sampling (extrapolation transects)",34
"snow bunting","study area",NA,"breeding","transects (relative abundance)",18
"snow bunting","study area",NA,"breeding","incidental observations (relative abundance)",276
"snow goose","study area",1999,"breeding","nest sampling (extrapolation colony)",8175
"snow goose","study area",2000,"breeding","nest sampling (extrapolation colony)",15412
"snow goose","study area",2001,"breeding","nest sampling (extrapolation colony)",35404
"snow goose","study area",2002,"breeding","nest sampling (extrapolation colony)",25715
"snow goose","study area",2003,"breeding","nest sampling (extrapolation colony)",33532
"snow goose","study area",2004,"breeding","nest sampling (extrapolation colony)",2505
"snow goose","study area",2005,"breeding","nest sampling (extrapolation colony)",12773
"snow goose","study area",2006,"breeding","nest sampling (extrapolation colony)",7402
"snow goose","study area",2007,"breeding","nest sampling (extrapolation colony)",10778
"snow goose","study area",2008,"breeding","nest sampling (extrapolation colony)",21523
"snow goose","study area",2009,"breeding","nest sampling (extrapolation colony)",26199
"snow goose","study area",2010,"breeding","combined methods",13524
"snow goose","study area",2011,"breeding","combined methods",27642
"snow goose","study area",2012,"breeding","combined methods",25512
"snow goose","study area",2013,"breeding","combined methods",49076
"snow goose","study area",2014,"breeding","combined methods",42487
"snow goose","study area",2015,"breeding","combined methods",37190
"snow goose","study area",2016,"breeding","combined methods",39779
"snow goose","study area",2017,"breeding","combined methods",32031
"snow goose","study area",2018,"breeding","combined methods",27626
"snow goose","study area",2019,"breeding","combined methods",44178
"snow goose","study area",2022,"breeding","combined methods",8687
"snow goose","study area",2023,"breeding","combined methods",34496
"snowy owl","study area",1996,"breeding","nest sampling (extrapolation nests)",40
"snowy owl","study area",1997,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",1998,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",1999,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2000,"breeding","nest sampling (extrapolation nests)",67
"snowy owl","study area",2001,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2002,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2003,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2004,"breeding","nest sampling (extrapolation nests)",60
"snowy owl","study area",2005,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2006,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2007,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2008,"breeding","nest sampling (extrapolation nests)",33
"snowy owl","study area",2009,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2010,"breeding","nest sampling (extrapolation nests)",40
"snowy owl","study area",2011,"breeding","nest sampling (extrapolation nests)",0
"snowy owl","study area",2012,"breeding","nest sampling",0
"snowy owl","study area",2013,"breeding","nest sampling",0
"snowy owl","study area",2014,"breeding","nest sampling",144
"snowy owl","study area",2015,"breeding","nest sampling",0
"snowy owl","study area",2016,"breeding","nest sampling",6
"snowy owl","study area",2017,"breeding","nest sampling",0
"snowy owl","study area",2018,"breeding","nest sampling",0
"snowy owl","study area",2019,"breeding","nest sampling",18
"snowy owl","study area",2022,"breeding","nest sampling",0
"snowy owl","study area",2023,"breeding","nest sampling",0
"tundra swan","study area",2017,"breeding","nest sampling",0
"tundra swan","study area",2018,"breeding","nest sampling",2
"tundra swan","study area",2019,"breeding","nest sampling",2
"tundra swan","study area",2022,"breeding","nest sampling",0
"white rumped sandpiper","study area",NA,"breeding","transects (relative abundance)",991
"white rumped sandpiper","study area",NA,"breeding","incidental observations (relative abundance)",1134
